Datetime,Text,Username,Sentiment
2022-09-29 23:00:01+00:00,"Menkes Budi Gunadi menanggapi soal Es teh Indonesia yang dinilai terlalu manis.

https://t.co/nWhSWCikuQ",LadiestoryID,
2022-09-29 22:10:50+00:00,@amndzahra Mba minum es teh Indonesia ya,indrapradana,
2022-09-29 20:03:51+00:00,@MischoCho Es teh indonesia jgn lupa wkwk,sighosting14,
2022-09-29 17:44:49+00:00,@today_messagee Tetap ngopi walau gerai Es Teh Indonesia menjamur di seluruh pelosok negeri.,SonggeAhsin,
2022-09-29 15:26:42+00:00,@CNNIndonesia Gue reques es teh rasa SOMASI dong @esteh_indonesia tidak terlalu manis tapi ngangenin bisa?,sersanqomar,
2022-09-29 14:48:43+00:00,@marthaindah_ @ohmybeautybank Es teh indonesia seember biar skalian diabetes mau?,invanadeca,0
2022-09-29 14:27:35+00:00,"Penampakan Es Teh Lemon LESS SUGAR yg dr rasanya ga less less amat 🤭
@esteh_indonesia #estehindonesia #esteh https://t.co/ZQ5iMdm044",maryooyram,
2022-09-29 14:15:09+00:00,"kurang gula kok makan egg tart, makan bittersweet by najla ditemani chizu red velvet es teh indonesia lah",kihyunest,
2022-09-29 14:14:46+00:00,"Sejak kejadian es teh Indonesia, jadi makin aware sama risiko kelebihan gula. Mana kemarinan waktu tes gula darah, lumayan tinggi (walau masih di batas normal).

Lebih aware ke anak sih. Dari awal bisa makan, w cukup strict sama makanannya.",mutiaulfi,
2022-09-29 14:12:16+00:00,"es teh indonesia salah, tp yang kritik kemaren juga salah, bukan kritik itu namanya kalau gitu, kritik kok pake ngatain, heran.",erlangga29,1
2022-09-29 14:06:21+00:00,@xunqi_indonesia minumnya es teh botol kaca sama es jerukkk!! anjrit itu enak bgt seger bgtt puas bgt mampus pingsan gw 😭,eonnixe,
2022-09-29 13:52:01+00:00,"PT Es Teh Indonesia Minta Ampun Gegara Kirim Somasi 

#estehindonesia #EsTeh #Somasi #nagitaslavina 
https://t.co/nP1ELMpcjI",Kilat_com,
2022-09-29 13:25:28+00:00,"@NESVERLAND jangan lupa kasus:
'anda meremehkan saya? saya anak pertama😳☝🏻' sama es teh Indonesia xixixie",eullisie,
2022-09-29 12:45:17+00:00,"Udah minta maaf, udah damai, tapi rasa penasaran ini belum tuntas, berapa kandungan gula pada tiap sajian @esteh_indonesia
Minimal yang gw demen aja dah, es teh melati sm original..

 https://t.co/7fatNRbYyJ",sattoraji,
